Date 1,Date 2,Similarity
2021-12-05,2022-11-04,1.0
2022-10-11,2022-07-11,1.0
2021-06-30,2021-06-29,1.0
2016-09-17,2017-09-17,1.0
2016-08-26,2016-10-08,1.0
2016-08-26,2016-10-26,1.0
2016-11-18,2016-08-14,1.0
2021-12-11,2022-11-10,1.0
2017-04-15,2017-05-15,1.0
2021-11-19,2021-05-19,1.0
2016-09-13,2017-09-13,1.0
2016-09-16,2017-09-16,1.0
2017-05-22,2017-04-22,1.0
2017-07-30,2017-03-04,1.0
2022-10-14,2022-07-21,1.0
2016-11-21,2016-10-11,1.0
2016-11-21,2016-08-11,1.0
2016-09-29,2017-09-29,1.0
2017-09-30,2016-09-30,1.0
2022-08-17,2021-04-17,1.0
2021-12-25,2022-11-24,1.0
2016-10-02,2017-03-02,1.0
2017-09-18,2016-09-18,1.0
2021-12-03,2022-11-02,1.0
2017-08-30,2017-10-30,1.0
2022-10-03,2022-07-31,1.0
2017-05-04,2017-04-29,1.0
2021-08-23,2022-07-23,1.0
2021-08-23,2022-07-24,1.0
2016-09-15,2017-09-15,1.0
2021-12-04,2022-11-03,1.0
2021-10-08,2021-10-26,1.0
2017-08-19,2017-10-19,1.0
2017-10-27,2017-08-27,1.0
2016-11-13,2016-08-19,1.0
2022-04-15,2022-01-24,1.0
2021-09-02,2021-11-02,1.0
2022-10-19,2022-07-27,1.0
2017-09-27,2016-09-27,1.0
2017-04-28,2017-05-05,1.0
2016-10-08,2016-10-26,1.0
2017-07-26,2017-03-26,1.0
2017-07-26,2017-03-08,1.0
2016-08-13,2016-11-19,1.0
2021-12-08,2022-11-07,1.0
2016-11-29,2016-08-03,1.0
2022-11-06,2021-12-07,1.0
2022-10-12,2022-07-22,1.0
2017-09-08,2016-09-07,1.0
2017-09-08,2017-09-07,1.0
2017-09-08,2016-09-08,1.0
2022-11-14,2021-12-15,1.0
2021-12-29,2022-11-28,1.0
2017-09-26,2016-09-26,1.0
2016-09-22,2017-09-22,1.0
2022-10-08,2022-07-26,1.0
2022-10-08,2022-10-26,1.0
2021-12-06,2022-11-05,1.0
2022-11-27,2021-12-28,1.0
2021-12-19,2022-11-18,1.0
2022-11-26,2021-12-27,1.0
2021-12-23,2022-11-22,1.0
2017-08-03,2017-10-03,1.0
2022-10-10,2022-07-10,1.0
2016-11-17,2016-08-15,1.0
2016-09-02,2017-09-02,1.0
2017-07-24,2017-07-23,1.0
2017-07-24,2016-11-09,1.0
2017-07-24,2017-08-23,1.0
2021-12-17,2022-11-16,1.0
2017-07-31,2017-03-03,1.0
2017-03-26,2017-03-08,1.0
2021-12-24,2022-11-23,1.0
2022-11-09,2021-12-10,1.0
2022-11-19,2021-12-20,1.0
2017-09-11,2016-09-11,1.0
2022-01-16,2022-04-08,1.0
2016-11-14,2016-08-18,1.0
2016-11-14,2016-10-29,1.0
2017-09-20,2016-09-20,1.0
2017-04-01,2017-05-02,1.0
